cycle	command	status	duration_seconds	started_at	log
1	typecheck	0	10	2026-05-20T14:14:10Z	reports/b1-burnin/typecheck-build/cycle-1-typecheck.log
1	typecheck_ci	0	11	2026-05-20T14:14:20Z	reports/b1-burnin/typecheck-build/cycle-1-typecheck_ci.log
1	build	0	11	2026-05-20T14:14:31Z	reports/b1-burnin/typecheck-build/cycle-1-build.log
2	typecheck	0	10	2026-05-20T14:14:42Z	reports/b1-burnin/typecheck-build/cycle-2-typecheck.log
2	typecheck_ci	0	11	2026-05-20T14:14:52Z	reports/b1-burnin/typecheck-build/cycle-2-typecheck_ci.log
2	build	0	10	2026-05-20T14:15:03Z	reports/b1-burnin/typecheck-build/cycle-2-build.log
3	typecheck	0	10	2026-05-20T14:15:13Z	reports/b1-burnin/typecheck-build/cycle-3-typecheck.log
3	typecheck_ci	0	11	2026-05-20T14:15:23Z	reports/b1-burnin/typecheck-build/cycle-3-typecheck_ci.log
3	build	0	10	2026-05-20T14:15:34Z	reports/b1-burnin/typecheck-build/cycle-3-build.log
4	typecheck	0	9	2026-05-20T14:15:44Z	reports/b1-burnin/typecheck-build/cycle-4-typecheck.log
4	typecheck_ci	0	11	2026-05-20T14:15:53Z	reports/b1-burnin/typecheck-build/cycle-4-typecheck_ci.log
4	build	0	10	2026-05-20T14:16:04Z	reports/b1-burnin/typecheck-build/cycle-4-build.log
5	typecheck	0	10	2026-05-20T14:16:14Z	reports/b1-burnin/typecheck-build/cycle-5-typecheck.log
5	typecheck_ci	0	10	2026-05-20T14:16:24Z	reports/b1-burnin/typecheck-build/cycle-5-typecheck_ci.log
5	build	0	11	2026-05-20T14:16:34Z	reports/b1-burnin/typecheck-build/cycle-5-build.log
6	typecheck	0	9	2026-05-20T14:16:45Z	reports/b1-burnin/typecheck-build/cycle-6-typecheck.log
6	typecheck_ci	0	11	2026-05-20T14:16:54Z	reports/b1-burnin/typecheck-build/cycle-6-typecheck_ci.log
6	build	0	11	2026-05-20T14:17:05Z	reports/b1-burnin/typecheck-build/cycle-6-build.log
7	typecheck	0	10	2026-05-20T14:17:16Z	reports/b1-burnin/typecheck-build/cycle-7-typecheck.log
7	typecheck_ci	0	12	2026-05-20T14:17:26Z	reports/b1-burnin/typecheck-build/cycle-7-typecheck_ci.log
7	build	0	12	2026-05-20T14:17:38Z	reports/b1-burnin/typecheck-build/cycle-7-build.log
8	typecheck	0	10	2026-05-20T14:17:50Z	reports/b1-burnin/typecheck-build/cycle-8-typecheck.log
8	typecheck_ci	0	14	2026-05-20T14:18:00Z	reports/b1-burnin/typecheck-build/cycle-8-typecheck_ci.log
8	build	0	13	2026-05-20T14:18:14Z	reports/b1-burnin/typecheck-build/cycle-8-build.log
9	typecheck	0	12	2026-05-20T14:18:27Z	reports/b1-burnin/typecheck-build/cycle-9-typecheck.log
9	typecheck_ci	0	14	2026-05-20T14:18:39Z	reports/b1-burnin/typecheck-build/cycle-9-typecheck_ci.log
9	build	0	13	2026-05-20T14:18:53Z	reports/b1-burnin/typecheck-build/cycle-9-build.log
10	typecheck	0	57	2026-05-20T14:19:06Z	reports/b1-burnin/typecheck-build/cycle-10-typecheck.log
10	typecheck_ci	0	55	2026-05-20T14:20:03Z	reports/b1-burnin/typecheck-build/cycle-10-typecheck_ci.log
10	build	0	16	2026-05-20T14:20:58Z	reports/b1-burnin/typecheck-build/cycle-10-build.log
