wp_id,f_artifact,validation_evidence,f_commit,prior_judge_commit,missing_judge_artifact,validation_summary,anti_fake_summary,prior_judged_at
DP-PRODUCT-ISSUE-WP-000041,reports/f_done/dp-int-v1/DP-PRODUCT-ISSUE-WP-000041.md,"npm test -- --run src/lib/tm-int src/components/placement: passed 28 files/218 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors/warnings",cf0e2acd7,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-PRODUCT-ISSUE-WP-000041 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:18:00"
DP-PRODUCT-ISSUE-WP-000042,reports/f_done/dp-int-v1/DP-PRODUCT-ISSUE-WP-000042-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int src/components/placement: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",30f435c39,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-PRODUCT-ISSUE-WP-000042 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:18:31"
DP-PRODUCT-ISSUE-WP-000043,reports/f_done/dp-int-v1/DP-PRODUCT-ISSUE-WP-000043-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int src/components/placement: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",6640c82fb,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-PRODUCT-ISSUE-WP-000043 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:19:03"
DP-PRODUCT-ISSUE-WP-000044,reports/f_done/dp-int-v1/DP-PRODUCT-ISSUE-WP-000044-F-DP-INT-W3.json,"npm test -- --run src/lib/tm-int src/components/placement: passed; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors",9461a2227,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-PRODUCT-ISSUE-WP-000044 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:19:33"
DP-PRODUCT-ISSUE-WP-000045,reports/f_done/dp-int-v1/DP-PRODUCT-ISSUE-WP-000045-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int src/components/placement; npm run typecheck; npm exec eslint -- scripts src --format json",e59462cc5e68ae02494bfa3d5a9ed66a90f647c4,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-PRODUCT-ISSUE-WP-000045 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:20:03"
DP-REPLAY-JUDGE-WP-000001,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000001-F-DP-INT-W2.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/187 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: exit 0",96234777d6645467fed55007b469d59c41645c08,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000001 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:20:34"
DP-REPLAY-JUDGE-WP-000002,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000002.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/191 tests; npm run typecheck: passed; npm exec eslint -- scripts src --format json: passed zero errors/warnings",09e277ac5,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000002 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:21:07"
DP-REPLAY-JUDGE-WP-000003,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000003.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int passed; npm run typecheck passed; npm exec eslint -- scripts src --format json passed",ac1c471af,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000003 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:21:42"
DP-REPLAY-JUDGE-WP-000004,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000004-F-DP-INT-W4.md,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int; npm run typecheck; npm exec eslint -- scripts src --format json",b90c49c4df45e77daf96aa5363b41f4414c151b1,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000004 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:22:17"
DP-REPLAY-JUDGE-WP-000005,reports/f_done/dp-int-v1/DP-REPLAY-JUDGE-WP-000005-F-DP-INT-W5.json,"npm test -- --run src/lib/tm-int/runtimeReadiness src/lib/tm-int: passed 25 files/200 tests; npm run typecheck: passed; eslint changed files: passed zero errors; git diff --check: passed",99a9bc76c0189e52ba756a751faba40c6915b8a3,ccb72187769a5c2b94aa1e84c70410b2e8148bf7,reports/f_done/dp-int-v1/JUDGE-CLOSEOUT-20260704-FINAL.md,"judge_pass recorded by Judge/Admin for DP-REPLAY-JUDGE-WP-000005 at ccb72187769a5c2b94aa1e84c70410b2e8148bf7.","Judge ledger is separate from F queue; F verified remains locked to 0.","2026-07-04 20:22:52"
